11849 11849
0 4581 128
4581 3263 80
3263 6829 112
6829 5702 122
5702 9093 17
9093 4588 146
4588 4535 76
4535 2118 129
2118 1822 32
1822 11132 36
11132 7234 68
7234 2747 32
2747 11147 32
11147 5992 32
5992 7941 128
7941 8913 32
8913 4350 32
4350 11541 96
11541 699 128
699 2887 32
2887 10543 32
10543 8917 32
8917 9731 64
9731 7466 128
7466 8569 160
8569 11422 32
11422 7494 64
7494 7524 64
7524 9022 32
9022 6044 32
6044 7477 36
7477 71 53
71 10877 44
10877 2054 32
2054 965 32
965 9008 32
9008 2179 96
2179 801 224
801 3746 32
3746 2500 32
2500 5175 128
5175 474 107
474 1768 116
1768 866 96
866 770 59
770 11454 139
11454 11796 32
11796 9896 32
9896 5262 56
5262 3077 139
3077 678 110
678 1639 124
1639 1962 129
1962 11661 154
11661 5685 110
5685 7398 110
7398 6865 110
6865 7190 110
7190 3766 154
3766 6935 96
6935 2425 96
2425 9205 48
9205 8028 48
8028 654 32
654 4865 32
4865 5121 110
5121 4683 64
4683 4724 96
4724 7777 110
7777 8637 96
8637 2013 64
2013 4109 160
4109 4238 110
4238 2248 136
2248 2300 80
2300 11375 96
11375 7868 96
7868 2132 32
2132 6546 32
6546 313 32
313 10579 32
10579 5187 110
5187 5596 143
5596 6089 146
6089 11443 64
11443 6342 64
6342 8879 110
8879 7350 64
7350 6218 64
6218 9864 192
9864 3705 110
3705 6083 96
6083 11448 110
11448 7007 64
7007 155 110
155 2182 136
2182 3140 80
3140 5171 32
5171 414 32
414 11076 48
11076 9091 48
9091 7067 110
7067 3887 96
3887 5951 64
5951 6138 160
6138 3177 128
3177 7131 96
7131 5924 110
5924 7717 64
7717 8468 32
8468 10906 64
10906 5137 64
5137 11563 110
11563 1118 110
1118 3659 128
3659 8839 110
8839 3826 96
3826 9782 110
9782 2038 123
2038 11318 9
11318 145 87
145 11226 110
11226 3742 64
3742 10080 64
10080 6528 64
6528 2860 127
2860 9633 224
9633 11696 110
11696 4682 80
4682 1963 136
1963 5180 110
5180 4594 64
4594 2463 64
2463 531 32
531 7065 48
7065 2575 136
2575 10500 80
10500 2409 73
2409 9341 106
9341 9204 53
9204 3729 72
3729 6699 9
6699 9382 178
9382 6075 144
6075 7670 110
7670 8837 60
8837 10486 127
10486 10869 114
10869 7118 32
7118 7561 50
7561 7542 123
7542 7945 160
7945 9944 182
9944 3352 50
3352 7422 28
7422 9501 32
9501 6843 96
6843 3609 64
3609 11761 128
11761 11834 96
11834 8603 64
8603 3423 32
3423 2202 64
2202 10301 125
10301 2881 71
2881 7643 110
7643 8118 111
8118 7556 87
7556 2415 149
2415 6795 27
6795 3146 50
3146 5228 66
5228 7250 32
7250 3182 32
3182 4761 114
4761 6948 74
6948 10097 53
10097 10735 17
10735 1244 152
1244 7302 64
7302 11379 76
11379 2127 53
2127 4054 36
4054 1743 32
1743 1826 32
1826 8088 84
8088 10473 32
10473 11353 68
11353 10960 64
10960 8404 32
8404 7568 68
7568 10947 32
10947 9614 128
9614 1489 32
1489 6176 32
6176 9536 32
9536 846 32
846 11410 64
11410 602 32
602 1241 32
1241 7438 32
7438 9785 64
9785 2277 127
2277 11477 32
11477 6035 68
6035 6437 32
6437 6762 32
6762 11333 68
11333 10531 32
10531 2761 64
2761 1600 32
1600 3819 128
3819 7079 84
7079 7393 32
7393 3561 32
3561 1055 64
1055 4994 32
4994 605 32
605 2606 32
2606 1687 64
1687 10730 64
10730 3820 32
3820 1925 64
1925 8992 32
8992 9055 32
9055 6567 32
6567 1877 32
1877 6362 64
6362 11060 64
11060 7850 64
7850 5789 32
5789 11556 32
11556 4735 32
4735 1030 32
1030 10340 64
10340 357 32
357 6432 32
